postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
PE13,NHS Cambridgeshire and Peterborough ICB,4,473,414,87.5
TN19,NHS Sussex ICB,1,16,14,87.5
WC2A,NHS North Central London ICB,1,8,7,87.5
WD25,NHS Hertfordshire and West Essex ICB,2,264,231,87.5
DA4,NHS Kent and Medway ICB,1,105,92,87.6
DE23,NHS Derby and Derbyshire ICB,6,1197,1048,87.6
ME4,NHS Kent and Medway ICB,4,784,687,87.6
N2,NHS North Central London ICB,3,170,149,87.6
RM12,NHS North East London ICB,5,410,359,87.6
SS17,NHS Mid and South Essex ICB,5,242,212,87.6
WA16,NHS Cheshire and Merseyside ICB,1,202,177,87.6
WF12,NHS West Yorkshire ICB,5,275,241,87.6
WV10,Multiple regions,13,1163,1019,87.6
BR2,NHS South East London ICB,4,333,292,87.7
CH43,NHS Cheshire and Merseyside ICB,4,179,157,87.7
LU5,"NHS Bedfordshire, Luton and Milton Keynes ICB",5,738,647,87.7
NN2,NHS Northamptonshire ICB,6,677,594,87.7
RG24,NHS Hampshire and Isle of Wight ICB,2,430,377,87.7
SK3,NHS Greater Manchester ICB,2,332,291,87.7
SS16,NHS Mid and South Essex ICB,4,489,429,87.7
TR12,NHS Cornwall and the Isles of Scilly ICB,2,73,64,87.7
TR13,NHS Cornwall and the Isles of Scilly ICB,2,179,157,87.7
BA6,NHS Somerset ICB,2,123,108,87.8
BB10,NHS Lancashire and South Cumbria ICB,3,294,258,87.8
BB3,NHS Lancashire and South Cumbria ICB,4,344,302,87.8
DN1,NHS South Yorkshire ICB,7,968,850,87.8
NG24,NHS Nottingham and Nottinghamshire ICB,4,476,418,87.8
NN11,NHS Northamptonshire ICB,3,435,382,87.8
S5,NHS South Yorkshire ICB,8,608,534,87.8
TS13,Multiple regions,2,74,65,87.8
LS15,NHS West Yorkshire ICB,4,298,262,87.9
PE11,NHS Lincolnshire ICB,3,462,406,87.9
TA24,NHS Somerset ICB,2,99,87,87.9
WF17,NHS West Yorkshire ICB,8,725,637,87.9
AL2,NHS Hertfordshire and West Essex ICB,3,324,285,88.0
BN9,NHS Sussex ICB,2,192,169,88.0
CM15,NHS Mid and South Essex ICB,5,410,361,88.0
DA11,NHS Kent and Medway ICB,4,739,650,88.0
EN1,NHS North Central London ICB,1,92,81,88.0
KT2,NHS South West London ICB,5,619,545,88.0
ME7,NHS Kent and Medway ICB,4,706,621,88.0
PL32,NHS Cornwall and the Isles of Scilly ICB,1,50,44,88.0
SM6,NHS South West London ICB,6,634,558,88.0
ST6,NHS Staffordshire and Stoke-on-Trent ICB,9,961,846,88.0
TN33,NHS Sussex ICB,2,92,81,88.0
WD18,NHS Hertfordshire and West Essex ICB,2,576,507,88.0
AL10,NHS Hertfordshire and West Essex ICB,3,371,327,88.1
CR6,NHS Surrey Heartlands ICB,2,310,273,88.1
DA2,NHS Kent and Medway ICB,1,573,505,88.1
E11,NHS North East London ICB,11,876,772,88.1
SE24,NHS South East London ICB,4,327,288,88.1
SL3,NHS Frimley ICB,3,487,429,88.1
SS13,NHS Mid and South Essex ICB,7,472,416,88.1
TN35,NHS Sussex ICB,1,134,118,88.1
B68,NHS Black Country ICB,6,381,336,88.2
B70,NHS Black Country ICB,10,671,592,88.2
BL9,NHS Greater Manchester ICB,9,633,558,88.2
DA3,NHS Kent and Medway ICB,1,127,112,88.2
DN4,NHS South Yorkshire ICB,3,321,283,88.2
L22,NHS Cheshire and Merseyside ICB,3,169,149,88.2
LS4,NHS West Yorkshire ICB,1,68,60,88.2
MK42,"NHS Bedfordshire, Luton and Milton Keynes ICB",3,642,566,88.2
OL9,NHS Greater Manchester ICB,6,650,573,88.2
OX33,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,93,82,88.2
PL29,NHS Cornwall and the Isles of Scilly ICB,1,51,45,88.2
TQ5,NHS Devon ICB,1,85,75,88.2
TR15,NHS Cornwall and the Isles of Scilly ICB,2,458,404,88.2
TW9,NHS South West London ICB,4,245,216,88.2
WS1,NHS Black Country ICB,9,754,665,88.2
B65,NHS Black Country ICB,1,419,370,88.3
CR5,NHS South West London ICB,2,223,197,88.3
DY4,NHS Black Country ICB,5,556,491,88.3
L19,NHS Cheshire and Merseyside ICB,4,240,212,88.3
M45,NHS Greater Manchester ICB,2,120,106,88.3
NG18,NHS Nottingham and Nottinghamshire ICB,6,571,504,88.3
NR16,NHS Norfolk and Waveney ICB,1,60,53,88.3
TN38,NHS Sussex ICB,3,103,91,88.3
TR4,NHS Cornwall and the Isles of Scilly ICB,1,60,53,88.3
YO15,NHS Humber and North Yorkshire ICB,1,77,68,88.3
BN20,NHS Sussex ICB,1,199,176,88.4
CT9,NHS Kent and Medway ICB,3,559,494,88.4
NR10,NHS Norfolk and Waveney ICB,1,43,38,88.4
RH3,NHS Surrey Heartlands ICB,1,86,76,88.4
TR17,NHS Cornwall and the Isles of Scilly ICB,1,43,38,88.4
WV1,NHS Black Country ICB,3,319,282,88.4
BD2,NHS West Yorkshire ICB,5,427,378,88.5
CM4,NHS Mid and South Essex ICB,2,113,100,88.5
CT21,NHS Kent and Medway ICB,2,96,85,88.5
E18,NHS North East London ICB,5,382,338,88.5
KT20,NHS Surrey Heartlands ICB,2,174,154,88.5
NE47,NHS North East and North Cumbria ICB,1,26,23,88.5
NG4,NHS Nottingham and Nottinghamshire ICB,3,410,363,88.5
NR27,NHS Norfolk and Waveney ICB,1,52,46,88.5
NW3,NHS North Central London ICB,6,515,456,88.5
TN3,Multiple regions,2,52,46,88.5
WS10,NHS Black Country ICB,11,713,631,88.5
BR7,NHS South East London ICB,1,220,195,88.6
CV2,NHS Coventry and Warwickshire ICB,9,954,845,88.6
GL14,NHS Gloucestershire ICB,2,149,132,88.6
IP1,NHS Suffolk and North East Essex ICB,4,800,709,88.6
N10,NHS North Central London ICB,3,255,226,88.6
NR26,NHS Norfolk and Waveney ICB,1,44,39,88.6
OL8,NHS Greater Manchester ICB,5,491,435,88.6
SW17,NHS South West London ICB,3,684,606,88.6
BA11,NHS Somerset ICB,2,372,330,88.7
CM16,NHS Hertfordshire and West Essex ICB,2,265,235,88.7
CW10,NHS Cheshire and Merseyside ICB,2,159,141,88.7
DN17,NHS Humber and North Yorkshire ICB,1,71,63,88.7
M20,NHS Greater Manchester ICB,6,592,525,88.7
N12,NHS North Central London ICB,3,222,197,88.7
SS2,NHS Mid and South Essex ICB,5,230,204,88.7
ST18,NHS Staffordshire and Stoke-on-Trent ICB,1,53,47,88.7
SW19,NHS South West London ICB,11,917,813,88.7
TS28,NHS North East and North Cumbria ICB,2,204,181,88.7
TW12,NHS South West London ICB,3,222,197,88.7
BN11,NHS Sussex ICB,4,384,341,88.8
CV12,NHS Coventry and Warwickshire ICB,5,427,379,88.8
DA13,NHS Kent and Medway ICB,2,233,207,88.8
DA17,NHS South East London ICB,1,196,174,88.8
DN16,NHS Humber and North Yorkshire ICB,4,526,467,88.8
GU26,NHS Surrey Heartlands ICB,1,80,71,88.8
LE3,"NHS Leicester, Leicestershire and Rutland ICB",15,1308,1162,88.8
MK40,"NHS Bedfordshire, Luton and Milton Keynes ICB",5,865,768,88.8
NN8,NHS Northamptonshire ICB,4,811,720,88.8
PO22,NHS Sussex ICB,2,187,166,88.8
SL2,Multiple regions,5,732,650,88.8
CT2,NHS Kent and Medway ICB,2,208,185,88.9
HP13,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",4,350,311,88.9
LE2,"NHS Leicester, Leicestershire and Rutland ICB",19,1454,1293,88.9
PO21,NHS Sussex ICB,4,315,280,88.9
SO43,NHS Hampshire and Isle of Wight ICB,1,27,24,88.9
BD7,NHS West Yorkshire ICB,4,725,645,89.0
DL9,Multiple regions,2,173,154,89.0
M31,NHS Greater Manchester ICB,2,127,113,89.0
NW11,NHS North Central London ICB,6,637,567,89.0
PE9,NHS Lincolnshire ICB,1,182,162,89.0
TR18,NHS Cornwall and the Isles of Scilly ICB,4,227,202,89.0
TS26,NHS North East and North Cumbria ICB,2,181,161,89.0
CM6,NHS Hertfordshire and West Essex ICB,3,348,310,89.1
HU7,NHS Humber and North Yorkshire ICB,6,895,797,89.1
LE5,"NHS Leicester, Leicestershire and Rutland ICB",13,1612,1437,89.1
M24,NHS Greater Manchester ICB,9,718,640,89.1
PL24,NHS Cornwall and the Isles of Scilly ICB,1,46,41,89.1
RM9,NHS North East London ICB,5,294,262,89.1
SK5,NHS Greater Manchester ICB,3,322,287,89.1
SS8,NHS Mid and South Essex ICB,6,348,310,89.1
SW1P,NHS North West London ICB,1,55,49,89.1
WV3,NHS Black Country ICB,3,258,230,89.1
B38,NHS Birmingham and Solihull ICB,3,295,263,89.2
BN17,NHS Sussex ICB,2,251,224,89.2
L26,NHS Cheshire and Merseyside ICB,3,139,124,89.2
SE13,NHS South East London ICB,4,862,769,89.2
WD17,NHS Hertfordshire and West Essex ICB,2,185,165,89.2
B92,NHS Birmingham and Solihull ICB,4,298,266,89.3
BB4,NHS Lancashire and South Cumbria ICB,7,534,477,89.3
BR8,NHS Kent and Medway ICB,1,289,258,89.3
BS24,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,122,109,89.3
CO12,NHS Suffolk and North East Essex ICB,3,253,226,89.3
DN8,NHS South Yorkshire ICB,2,234,209,89.3
DY1,NHS Black Country ICB,8,599,535,89.3
HP21,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,196,175,89.3
HU3,NHS Humber and North Yorkshire ICB,3,215,192,89.3
TN1,NHS Kent and Medway ICB,2,214,191,89.3
TS3,NHS North East and North Cumbria ICB,5,299,267,89.3
UB1,NHS North West London ICB,14,925,826,89.3
WA6,NHS Cheshire and Merseyside ICB,2,197,176,89.3
B69,NHS Black Country ICB,3,369,330,89.4
B76,NHS Birmingham and Solihull ICB,1,94,84,89.4
BB6,NHS Lancashire and South Cumbria ICB,1,94,84,89.4
BL1,NHS Greater Manchester ICB,16,1257,1124,89.4
CT8,NHS Kent and Medway ICB,1,85,76,89.4
LA3,NHS Lancashire and South Cumbria ICB,1,558,499,89.4
LS14,NHS West Yorkshire ICB,4,312,279,89.4
TN16,Multiple regions,3,188,168,89.4
B15,NHS Birmingham and Solihull ICB,2,181,162,89.5
BA21,NHS Somerset ICB,2,171,153,89.5
BD10,NHS West Yorkshire ICB,3,324,290,89.5
BS7,"NHS Bristol, North Somerset and South Gloucestershire ICB",3,712,637,89.5
HU4,NHS Humber and North Yorkshire ICB,1,76,68,89.5
HX7,NHS West Yorkshire ICB,1,114,102,89.5
S14,NHS South Yorkshire ICB,1,105,94,89.5
SS14,NHS Mid and South Essex ICB,4,210,188,89.5
TS1,NHS North East and North Cumbria ICB,7,692,619,89.5
UB10,NHS North West London ICB,4,256,229,89.5
WA9,NHS Cheshire and Merseyside ICB,6,600,537,89.5
B45,Multiple regions,4,240,215,89.6
BH9,NHS Dorset ICB,3,338,303,89.6
BN41,NHS Sussex ICB,3,193,173,89.6
DL17,NHS North East and North Cumbria ICB,2,164,147,89.6
HA5,NHS North West London ICB,5,422,378,89.6
M23,NHS Greater Manchester ICB,6,431,386,89.6
OL11,NHS Greater Manchester ICB,8,685,614,89.6
RG2,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",4,756,677,89.6
RG30,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,548,491,89.6
BD22,NHS West Yorkshire ICB,1,759,681,89.7
L25,NHS Cheshire and Merseyside ICB,7,419,376,89.7
PE30,NHS Norfolk and Waveney ICB,4,610,547,89.7
SW18,NHS South West London ICB,6,794,712,89.7
TA6,NHS Somerset ICB,6,735,659,89.7
TF3,"NHS Shropshire, Telford and Wrekin ICB",3,961,862,89.7
BS4,"NHS Bristol, North Somerset and South Gloucestershire ICB",5,645,579,89.8
CT20,NHS Kent and Medway ICB,4,344,309,89.8
KT21,NHS Surrey Heartlands ICB,2,236,212,89.8
M26,NHS Greater Manchester ICB,3,235,211,89.8
S80,Multiple regions,4,403,362,89.8
SE22,NHS South East London ICB,6,490,440,89.8
SO18,NHS Hampshire and Isle of Wight ICB,1,186,167,89.8
WV14,NHS Black Country ICB,5,460,413,89.8
YO12,NHS Humber and North Yorkshire ICB,3,236,212,89.8
BN44,NHS Sussex ICB,1,79,71,89.9
CH41,NHS Cheshire and Merseyside ICB,7,575,517,89.9
CT3,NHS Kent and Medway ICB,2,158,142,89.9
DE15,NHS Staffordshire and Stoke-on-Trent ICB,3,228,205,89.9
FY1,NHS Lancashire and South Cumbria ICB,4,543,488,89.9
ME3,NHS Kent and Medway ICB,3,377,339,89.9
OL7,NHS Greater Manchester ICB,3,159,143,89.9
SG11,NHS Hertfordshire and West Essex ICB,1,199,179,89.9
SO16,NHS Hampshire and Isle of Wight ICB,6,731,657,89.9
TN15,NHS Kent and Medway ICB,1,119,107,89.9
B31,NHS Birmingham and Solihull ICB,7,974,877,90.0
B77,NHS Staffordshire and Stoke-on-Trent ICB,3,289,260,90.0
BL3,NHS Greater Manchester ICB,18,1135,1022,90.0
CV23,NHS Coventry and Warwickshire ICB,2,100,90,90.0
IP4,NHS Suffolk and North East Essex ICB,3,438,394,90.0
PO10,Multiple regions,2,221,199,90.0
RH10,NHS Sussex ICB,7,1133,1020,90.0
RH5,NHS Surrey Heartlands ICB,1,60,54,90.0
SK1,NHS Greater Manchester ICB,1,30,27,90.0
SN6,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",3,650,585,90.0
ST1,NHS Staffordshire and Stoke-on-Trent ICB,5,707,636,90.0
TQ4,NHS Devon ICB,2,231,208,90.0
B98,NHS Herefordshire and Worcestershire ICB,1,162,146,90.1
BL8,NHS Greater Manchester ICB,3,505,455,90.1
BN6,NHS Sussex ICB,1,172,155,90.1
BN8,NHS Sussex ICB,1,162,146,90.1
M27,NHS Greater Manchester ICB,4,453,408,90.1
ME15,NHS Kent and Medway ICB,4,818,737,90.1
MK17,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,81,73,90.1
OX7,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,212,191,90.1
PO36,NHS Hampshire and Isle of Wight ICB,1,161,145,90.1
SN1,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",3,395,356,90.1
TW2,NHS South West London ICB,5,191,172,90.1
NE8,NHS North East and North Cumbria ICB,8,610,550,90.2
NG22,NHS Nottingham and Nottinghamshire ICB,3,256,231,90.2
TR10,NHS Cornwall and the Isles of Scilly ICB,1,132,119,90.2
TS18,NHS North East and North Cumbria ICB,8,705,636,90.2
YO11,NHS Humber and North Yorkshire ICB,3,336,303,90.2
YO14,NHS Humber and North Yorkshire ICB,2,82,74,90.2
CH65,NHS Cheshire and Merseyside ICB,4,403,364,90.3
CV10,NHS Coventry and Warwickshire ICB,5,381,344,90.3
L31,NHS Cheshire and Merseyside ICB,4,248,224,90.3
L37,NHS Cheshire and Merseyside ICB,2,176,159,90.3
M38,NHS Greater Manchester ICB,1,62,56,90.3
TW16,NHS Surrey Heartlands ICB,1,176,159,90.3
B91,NHS Birmingham and Solihull ICB,1,480,434,90.4
BD18,NHS West Yorkshire ICB,2,415,375,90.4
BD5,NHS West Yorkshire ICB,3,249,225,90.4
BN2,NHS Sussex ICB,7,415,375,90.4
BR3,NHS South East London ICB,6,669,605,90.4
CM22,NHS Hertfordshire and West Essex ICB,1,52,47,90.4
CR3,NHS Surrey Heartlands ICB,1,125,113,90.4
GL1,NHS Gloucestershire ICB,6,1109,1003,90.4
LE4,"NHS Leicester, Leicestershire and Rutland ICB",12,907,820,90.4
M35,NHS Greater Manchester ICB,2,251,227,90.4
PO38,NHS Hampshire and Isle of Wight ICB,1,52,47,90.4
ST16,NHS Staffordshire and Stoke-on-Trent ICB,4,450,407,90.4
TN32,NHS Sussex ICB,1,52,47,90.4
TR2,NHS Cornwall and the Isles of Scilly ICB,2,73,66,90.4
WN7,NHS Greater Manchester ICB,10,636,575,90.4
WV4,NHS Black Country ICB,2,387,350,90.4
BB1,NHS Lancashire and South Cumbria ICB,11,1179,1067,90.5
BN1,NHS Sussex ICB,15,802,726,90.5
CH62,NHS Cheshire and Merseyside ICB,3,295,267,90.5
LS27,NHS West Yorkshire ICB,4,421,381,90.5
NN13,NHS Northamptonshire ICB,2,273,247,90.5
OL13,NHS Lancashire and South Cumbria ICB,1,147,133,90.5
PE5,NHS Cambridgeshire and Peterborough ICB,1,21,19,90.5
TN11,NHS Kent and Medway ICB,2,147,133,90.5
TN12,NHS Kent and Medway ICB,4,380,344,90.5
WA10,NHS Cheshire and Merseyside ICB,11,537,486,90.5
YO1,NHS Humber and North Yorkshire ICB,1,190,172,90.5
BB8,NHS Lancashire and South Cumbria ICB,2,180,163,90.6
BH4,NHS Dorset ICB,1,149,135,90.6
BH7,NHS Dorset ICB,1,53,48,90.6
CH1,NHS Cheshire and Merseyside ICB,7,403,365,90.6
CM17,NHS Hertfordshire and West Essex ICB,2,340,308,90.6
CV3,NHS Coventry and Warwickshire ICB,10,791,717,90.6
DY2,NHS Black Country ICB,5,319,289,90.6
HP3,NHS Hertfordshire and West Essex ICB,3,477,432,90.6
IP18,NHS Norfolk and Waveney ICB,1,32,29,90.6
IP2,NHS Suffolk and North East Essex ICB,1,117,106,90.6
L18,NHS Cheshire and Merseyside ICB,4,202,183,90.6
MK14,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,160,145,90.6
PE12,NHS Lincolnshire ICB,4,329,298,90.6
RG1,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",7,682,618,90.6
TR1,NHS Cornwall and the Isles of Scilly ICB,2,339,307,90.6
TS9,NHS Humber and North Yorkshire ICB,2,117,106,90.6
TW20,Multiple regions,2,213,193,90.6
B94,NHS Coventry and Warwickshire ICB,2,54,49,90.7
CO6,NHS Mid and South Essex ICB,2,129,117,90.7
DE13,NHS Staffordshire and Stoke-on-Trent ICB,6,571,518,90.7
DH5,NHS North East and North Cumbria ICB,1,97,88,90.7
IP9,NHS Suffolk and North East Essex ICB,1,54,49,90.7
KT8,NHS Surrey Heartlands ICB,2,215,195,90.7
M19,NHS Greater Manchester ICB,4,388,352,90.7
ME10,NHS Kent and Medway ICB,7,724,657,90.7
NG25,NHS Nottingham and Nottinghamshire ICB,1,75,68,90.7
S65,NHS South Yorkshire ICB,5,561,509,90.7
SL1,Multiple regions,9,1538,1395,90.7
TA12,NHS Somerset ICB,1,75,68,90.7
TN14,NHS Kent and Medway ICB,1,97,88,90.7
BN22,NHS Sussex ICB,3,306,278,90.8
BS35,"NHS Bristol, North Somerset and South Gloucestershire ICB",4,249,226,90.8
CM12,NHS Mid and South Essex ICB,5,346,314,90.8
M25,NHS Greater Manchester ICB,6,512,465,90.8
N6,NHS North Central London ICB,1,120,109,90.8
S17,NHS South Yorkshire ICB,1,142,129,90.8
TF7,"NHS Shropshire, Telford and Wrekin ICB",2,174,158,90.8
TN39,NHS Sussex ICB,3,358,325,90.8
TS20,NHS North East and North Cumbria ICB,1,119,108,90.8
TW19,NHS Surrey Heartlands ICB,1,174,158,90.8
AL7,NHS Hertfordshire and West Essex ICB,3,474,431,90.9
BB18,NHS Lancashire and South Cumbria ICB,2,252,229,90.9
BN43,NHS Sussex ICB,1,285,259,90.9
CB4,NHS Cambridgeshire and Peterborough ICB,3,341,310,90.9
CV4,NHS Coventry and Warwickshire ICB,4,275,250,90.9
CW11,NHS Cheshire and Merseyside ICB,1,287,261,90.9
GL51,NHS Gloucestershire ICB,1,77,70,90.9
HU13,NHS Humber and North Yorkshire ICB,1,22,20,90.9
LA1,NHS Lancashire and South Cumbria ICB,2,538,489,90.9
NG20,Multiple regions,2,253,230,90.9
NR23,NHS Norfolk and Waveney ICB,1,22,20,90.9
TA4,NHS Somerset ICB,3,175,159,90.9
TN27,NHS Kent and Medway ICB,1,99,90,90.9
TQ3,NHS Devon ICB,2,230,209,90.9
WS3,NHS Black Country ICB,11,661,601,90.9
CM14,NHS Mid and South Essex ICB,1,155,141,91.0
CT10,NHS Kent and Medway ICB,3,145,132,91.0
CT6,NHS Kent and Medway ICB,2,335,305,91.0
EN11,NHS Hertfordshire and West Essex ICB,3,290,264,91.0
M5,NHS Greater Manchester ICB,2,145,132,91.0
ME17,NHS Kent and Medway ICB,4,534,486,91.0
MK2,"NHS Bedfordshire, Luton and Milton Keynes ICB",3,422,384,91.0
NG19,NHS Nottingham and Nottinghamshire ICB,4,521,474,91.0
PO31,NHS Hampshire and Isle of Wight ICB,1,122,111,91.0
RG42,NHS Frimley ICB,1,144,131,91.0
SG3,NHS Hertfordshire and West Essex ICB,1,133,121,91.0
SO21,NHS Hampshire and Isle of Wight ICB,2,134,122,91.0
SO23,NHS Hampshire and Isle of Wight ICB,1,100,91,91.0
TW1,Multiple regions,6,479,436,91.0
WA2,NHS Cheshire and Merseyside ICB,6,422,384,91.0
CM24,NHS Hertfordshire and West Essex ICB,1,202,184,91.1
CT17,NHS Kent and Medway ICB,1,90,82,91.1
DY5,NHS Black Country ICB,6,439,400,91.1
E1W,NHS North East London ICB,2,101,92,91.1
HP20,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,350,319,91.1
KT1,NHS South West London ICB,1,45,41,91.1
ME5,NHS Kent and Medway ICB,5,754,687,91.1
NE5,NHS North East and North Cumbria ICB,4,404,368,91.1
OL5,NHS Greater Manchester ICB,3,135,123,91.1
SK9,NHS Cheshire and Merseyside ICB,4,395,360,91.1
SN2,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",1,123,112,91.1
TN6,NHS Sussex ICB,3,246,224,91.1
WF9,NHS West Yorkshire ICB,4,527,480,91.1
BA22,NHS Somerset ICB,2,57,52,91.2
CM7,NHS Mid and South Essex ICB,5,602,549,91.2
DL7,Multiple regions,3,272,248,91.2
DN36,NHS Lincolnshire ICB,1,68,62,91.2
HP18,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,477,435,91.2
L34,NHS Cheshire and Merseyside ICB,2,171,156,91.2
LU6,Multiple regions,3,216,197,91.2
ME20,NHS Kent and Medway ICB,2,228,208,91.2
PO1,NHS Hampshire and Isle of Wight ICB,2,501,457,91.2
PO19,NHS Sussex ICB,4,407,371,91.2
PR25,NHS Lancashire and South Cumbria ICB,4,295,269,91.2
RM11,NHS North East London ICB,4,260,237,91.2
TR27,NHS Cornwall and the Isles of Scilly ICB,1,102,93,91.2
BL4,NHS Greater Manchester ICB,4,416,380,91.3
CT11,NHS Kent and Medway ICB,3,356,325,91.3
CV21,NHS Coventry and Warwickshire ICB,8,1000,913,91.3
EX21,NHS Devon ICB,1,23,21,91.3
HX3,NHS West Yorkshire ICB,2,207,189,91.3
ME12,NHS Kent and Medway ICB,5,530,484,91.3
MK41,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,206,188,91.3
OL14,NHS West Yorkshire ICB,1,127,116,91.3
SW20,NHS South West London ICB,3,574,524,91.3
TN17,NHS Kent and Medway ICB,3,103,94,91.3
